## Format mỗi dòng: word|difficulty|category
## difficulty: easy|medium|hard
## Dòng trống hoặc bắt đầu bằng # sẽ bị bỏ qua

cat|easy|animal
dog|easy|animal
cow|easy|animal
pig|easy|animal
bee|easy|animal
lion|easy|animal
tiger|easy|animal
fish|easy|animal
bird|easy|animal
duck|easy|animal
frog|easy|animal
horse|easy|animal
sheep|easy|animal
umbrella|easy|object
glasses|easy|object
bottle|easy|object
clock|easy|object
lamp|easy|object
table|easy|object
chair|easy|object
bag|easy|object
phone|easy|object
key|easy|object
cup|easy|object
book|easy|object
pencil|easy|object
pen|easy|object
pizza|easy|food
cake|easy|food
bread|easy|food
rice|easy|food
noodle|easy|food
egg|easy|food
apple|easy|food
banana|easy|food
orange|easy|food
watermelon|easy|food
hamburger|easy|food
ice cream|easy|food
milk|easy|food
cookie|easy|food
sandwich|easy|food
school|easy|place
hospital|easy|place
beach|easy|place
home|easy|place
forest|easy|place
mountain|easy|place
restaurant|easy|place
zoo|easy|place
bridge|easy|place
road|easy|place
run|easy|action
jump|easy|action
sleep|easy|action
eat|easy|action
drink|easy|action
sing|easy|action
dance|easy|action
swim|easy|action
read|easy|action
write|easy|action
cook|easy|action
open|easy|action
close|easy|action
draw|easy|action
sun|easy|nature
moon|easy|nature
star|easy|nature
rain|easy|nature
cloud|easy|nature
tree|easy|nature
flower|easy|nature
leaf|easy|nature
river|easy|nature
mountain|easy|nature
sand|easy|nature
snow|easy|nature
fire|easy|nature
hand|easy|body
foot|easy|body
head|easy|body
eye|easy|body
ear|easy|body
nose|easy|body
mouth|easy|body
hair|easy|body
arm|easy|body
leg|easy|body
finger|easy|body
tooth|easy|body
heart|easy|body
back|easy|body
football|easy|sport
basketball|easy|sport
tennis|easy|sport
swimming|easy|sport
running|easy|sport
badminton|easy|sport
golf|easy|sport
boxing|easy|sport
skate|easy|sport
volleyball|easy|sport
doctor|easy|job
teacher|easy|job
chef|easy|job
farmer|easy|job
police|easy|job
firefighter|easy|job
artist|easy|job
singer|easy|job
driver|easy|job
nurse|easy|job
pilot|easy|job
car|easy|vehicle
bus|easy|vehicle
train|easy|vehicle
plane|easy|vehicle
bike|easy|vehicle
motorbike|easy|vehicle
boat|easy|vehicle
ship|easy|vehicle
truck|easy|vehicle
taxi|easy|vehicle
scooter|easy|vehicle
helicopter|easy|vehicle
